Name,Favorite,Rating,AniName,FavChar,CharName,Ranked,Popularity,Members
"Morikawa, Toshiyuki",4535,0,Mahoutsukai no Yakusoku,8,"Garcia, Figaro",0,17367,390
"Morikawa, Toshiyuki",4535,0,Gintama on Theater 2D: Ikkoku Keisei-hen,89,"Sasaki, Isaburou",0,9337,3791
"Morikawa, Toshiyuki",4535,8.15,Kimetsu no Yaiba: Hashira Geiko-hen,63,"Ubuyashiki, Kagaya",455,857,283603
"Morikawa, Toshiyuki",4535,7.37,"Tadaima, Okaeri",3,"Fujiyoshi, Hiromu",2570,4471,24500
"Morikawa, Toshiyuki",4535,7.14,Unnamed Memory,0,Kevin,3884,2391,80182
"Morikawa, Toshiyuki",4535,8.37,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,351,"Greyrat, Paul",208,908,268845
"Morikawa, Toshiyuki",4535,7.55,Mahouka Koukou no Rettousei 3rd Season,0,"Saegusa, Kouichi",1773,2189,92371
"Morikawa, Toshiyuki",4535,7.56,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",1,Narrator,1722,2254,88806
"Morikawa, Toshiyuki",4535,8.75,Kingdom 5th Season,190,"Li, Mu",45,3812,34232
"Morikawa, Toshiyuki",4535,7.4,Majo to Yajuu,126,Ashaf,2409,1769,125363
"Morikawa, Toshiyuki",4535,7.57,Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,0,Foronda,1712,2314,84388
"Morikawa, Toshiyuki",4535,7.04,High Card Season 2,0,"Young, Greg",4424,3712,36499
"Morikawa, Toshiyuki",4535,6.13,"Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru",0,Greed,9315,2697,65866
"Morikawa, Toshiyuki",4535,6.83,Gintama on Theater 2D: Baragaki-hen,89,"Sasaki, Isaburou",5509,10984,2241
"Morikawa, Toshiyuki",4535,7.05,Dog Signal,0,"Niwa, Father",4394,7655,6506
"Morikawa, Toshiyuki",4535,7.28,Nanatsu no Taizai: Mokushiroku no Yonkishi,2,Ironside,3053,2821,60849
"Morikawa, Toshiyuki",4535,7.8,Undead Unluck,3,"Kowloon, Feng",1016,993,246005
"Morikawa, Toshiyuki",4535,7.65,Kengan Ashura Season 2,10,"Tokita, Niko",1399,4023,30954
"Morikawa, Toshiyuki",4535,8.65,Bungou Stray Dogs 5th Season,504,"Poe, Edgar Allan",73,1329,180475
"Morikawa, Toshiyuki",4535,6.66,Biohazard: Death Island,493,"Kennedy, Leon Scott",6485,7204,7536
"Morikawa, Toshiyuki",4535,7.11,Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,0,"Royal Ivy, Albert",4087,2290,86030
"Morikawa, Toshiyuki",4535,8.03,Black Clover: Mahou Tei no Ken,1692,"Novachrono, Julius",601,1118,217338
"Morikawa, Toshiyuki",4535,6.39,Eternal Boys Next Stage,0,"Yamanaka, Daisuke",7986,12133,1521
"Morikawa, Toshiyuki",4535,5.5,The Marginal Service,0,"Stokes, Zeno",11770,4739,21348
"Morikawa, Toshiyuki",4535,8.24,Kimetsu no Yaiba: Katanakaji no Sato-hen,63,"Ubuyashiki, Kagaya",324,225,817746
"Morikawa, Toshiyuki",4535,7.76,Mahoutsukai no Yome Season 2,6,"Callum, Simon",1115,1346,177935
"Morikawa, Toshiyuki",4535,6.74,Bio Sekai Meisaku Gekijou,493,"Kennedy, Leon Scott",5984,13357,1047
"Morikawa, Toshiyuki",4535,6.68,Buddy Daddies Intermission: Cherry-Pick,23,"Kugi, Kyuutarou",6322,7005,8130
"Morikawa, Toshiyuki",4535,7.28,Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai,18,"Ashiya, Douman",3027,7675,6483
"Morikawa, Toshiyuki",4535,6.34,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,1,Fifs,8258,1431,164844
"Morikawa, Toshiyuki",4535,7.18,High Card,0,"Young, Greg",3655,1920,112385
"Morikawa, Toshiyuki",4535,6.11,Ars no Kyojuu,1,Jiiro,9368,3400,43058
"Morikawa, Toshiyuki",4535,8.13,Buddy Daddies,23,"Kugi, Kyuutarou",466,890,272817
"Morikawa, Toshiyuki",4535,8.45,Bungou Stray Dogs 4th Season,504,"Poe, Edgar Allan",154,845,288058
"Morikawa, Toshiyuki",4535,9.02,Bleach: Sennen Kessen-hen,107,"Tousen, Kaname",9,410,542064
"Morikawa, Toshiyuki",4535,9.02,Bleach: Sennen Kessen-hen,368,"Kurosaki, Isshin",9,410,542064
"Morikawa, Toshiyuki",4535,6.55,Eternal Boys,0,"Yamanaka, Daisuke",7089,5578,14107
"Morikawa, Toshiyuki",4535,7.54,Poputepipikku 2nd Season,329,Pipimi,1825,3342,44250
"Morikawa, Toshiyuki",4535,8.29,Boku no Hero Academia 6th Season,2,"Shinomori, Hikage",271,329,643053
"Morikawa, Toshiyuki",4535,6.44,Tekken: Bloodline,6,Hwoarang,7740,4027,30867
"Morikawa, Toshiyuki",4535,8.64,Made in Abyss: Retsujitsu no Ougonkyou,4244,Bondrewd,74,509,444645
"Morikawa, Toshiyuki",4535,6.36,Kaitou Queen wa Circus ga Osuki,0,White Face,8111,10204,2837
"Morikawa, Toshiyuki",4535,7.48,Isekai Quartet Movie: Another World,2,Alec,2044,2366,81562
"Morikawa, Toshiyuki",4535,6.83,Toku: Touken Ranbu - Hanamaru - Setsugetsuka,0,"Kunitsuna, Onimaru",5536,8647,4807
"Morikawa, Toshiyuki",4535,6.9,Kakkou no Iinazuke,4,"Amano, Souichirou",5111,872,279035
