Name,Favorite,Rating,AniName,FavChar,CharName,Ranked,Popularity,Members
"Kamiya, Hiroshi",107474,0.0,Tougen Anki,59,"Mudano, Naito",0,10766,2403
"Kamiya, Hiroshi",107474,0.0,Natsume Yuujinchou Shichi,9953,"Natsume, Takashi",0,5516,14472
"Kamiya, Hiroshi",107474,0.0,Mononoke Movie: Karakasa,5134,Kusuriuri,0,4997,18960
"Kamiya, Hiroshi",107474,0.0,Kinnikuman: Kanpeki Chоujin Shiso-hen,3,Ashuraman,0,10346,2719
"Kamiya, Hiroshi",107474,0.0,Isekai Shikkaku,22,"Dazai, Osamu",0,4469,24545
"Kamiya, Hiroshi",107474,6.92,Blue Lock: Episode Nagi,202,"Ego, Jinpachi",4985,3708,36541
"Kamiya, Hiroshi",107474,7.7,Shinigami Bocchan to Kuro Maid 3rd Season,28,Zain,1287,3806,34333
"Kamiya, Hiroshi",107474,8.55,Haikyuu!! Movie: Gomisuteba no Kessen,78,"Takeda, Ittetsu",114,2038,103177
"Kamiya, Hiroshi",107474,7.79,Urusei Yatsura (2022) 2nd Season,332,"Moroboshi, Ataru",1043,3539,39993
"Kamiya, Hiroshi",107474,7.5,Kizumonogatari: Koyomi Vamp,28901,"Araragi, Koyomi",1942,5306,15996
"Kamiya, Hiroshi",107474,7.03,Ao no Exorcist: Shimane Illuminati-hen,2152,"Pheles, Mephisto",4457,1762,125691
"Kamiya, Hiroshi",107474,8.68,Tian Guan Cifu Er,2464,"Xie, Lian",61,3360,43900
"Kamiya, Hiroshi",107474,7.59,MF Ghost,0,"Beckenbauer, Michael",1584,2820,60877
"Kamiya, Hiroshi",107474,6.89,Osomatsu-san: Tamashii no Takoyaki Party to Densetsu no Otomarikai,369,"Matsuno, Choromatsu",5178,11377,1974
"Kamiya, Hiroshi",107474,8.65,Bungou Stray Dogs 5th Season,7633,"Edogawa, Ranpo",73,1329,180291
"Kamiya, Hiroshi",107474,7.6,Shinigami Bocchan to Kuro Maid 2nd Season,28,Zain,1549,2422,78687
"Kamiya, Hiroshi",107474,6.56,One Piece: Dai Gekisen Tokushuu! Hangeki Doumei vs. Big Mom,20732,"Trafalgar, Law",7017,10074,2953
"Kamiya, Hiroshi",107474,5.65,Tousouchuu: Great Mission,0,Yukinojou,11293,8565,4923
"Kamiya, Hiroshi",107474,6.63,SSSS.Dynazenon Movie,2,Juuga,6611,9017,4234
"Kamiya, Hiroshi",107474,8.9,Shingeki no Kyojin: The Final Season - Kanketsu-hen,141320,Levi,22,326,644989
"Kamiya, Hiroshi",107474,7.43,Kin no Kuni Mizu no Kuni,0,"Moonlight, Saladin",2250,6584,9439
"Kamiya, Hiroshi",107474,8.45,Bungou Stray Dogs 4th Season,7633,"Edogawa, Ranpo",154,845,287937
"Kamiya, Hiroshi",107474,6.32,Urusei Yatsura x Onitsuka Tiger Collaboration CM,332,"Moroboshi, Ataru",0,11315,2019
"Kamiya, Hiroshi",107474,7.43,Urusei Yatsura (2022),332,"Moroboshi, Ataru",2272,1361,174204
"Kamiya, Hiroshi",107474,8.27,Blue Lock,202,"Ego, Jinpachi",296,300,677197
"Kamiya, Hiroshi",107474,7.83,One Piece Film: Red,20732,"Trafalgar, Law",943,1403,168499
"Kamiya, Hiroshi",107474,6.5,Osomatsu-san: Hipipo-Zoku to Kagayaku Kajitsu,369,"Matsuno, Choromatsu",7371,10735,2425
"Kamiya, Hiroshi",107474,7.76,Kumichou Musume to Sewagakari,5,"Mashiro, Yuuri",1111,1104,220071
"Kamiya, Hiroshi",107474,7.69,Bakuten!! Movie,73,"Watari, Koutarou",1294,4969,19192
"Kamiya, Hiroshi",107474,7.57,Dragon Ball Super: Super Hero,16,Gamma 1-gou,1679,1974,108669
"Kamiya, Hiroshi",107474,7.35,Kaginado Season 2,2958,"Otonashi, Yuzuru",2620,5707,13331
"Kamiya, Hiroshi",107474,0.0,Kidou Senshi Gundam 00: Revealed Chronicle,453,"Erde, Tieria",15659,12918,1181
"Kamiya, Hiroshi",107474,8.76,Shingeki no Kyojin: The Final Season Part 2,141320,Levi,42,102,1292930
"Kamiya, Hiroshi",107474,6.16,Gundam Breaker: Battlogue,8,"Galette, Zeheart",9136,8776,4596
"Kamiya, Hiroshi",107474,7.12,Kaginado,2958,"Otonashi, Yuzuru",4007,4094,29639
"Kamiya, Hiroshi",107474,7.03,Gekijou Tanpen Macross Frontier: Toki no Meikyuu,35,"Blanc, Mikhail",4472,10082,2950
"Kamiya, Hiroshi",107474,7.81,Uchuu Senkan Yamato 2205: Aratanaru Tabidachi,3,"Keyman, Klaus",986,7551,6709
"Kamiya, Hiroshi",107474,6.53,Sakugan,0,DJ K,7221,2064,101284
"Kamiya, Hiroshi",107474,4.88,Tesla Note,1,"Thornton, Oliver",12883,4494,24227
"Kamiya, Hiroshi",107474,5.47,Tesla Note: Mickey to Oliver no Agent Yousei Kouza,1,"Thornton, Oliver",11841,14544,741
"Kamiya, Hiroshi",107474,7.4,Cider no You ni Kotoba ga Wakiagaru,0,"Sakura, Kouichi",2377,1063,229423
"Kamiya, Hiroshi",107474,7.71,Kakushigoto Movie,369,"Gotou, Kakushi",1234,3478,41381
"Kamiya, Hiroshi",107474,7.52,Shingeki no Kyojin: The Final Season Specials,141320,Levi,1891,5543,14327
"Kamiya, Hiroshi",107474,7.7,Uramichi Oniisan,888,"Omota, Uramichi",1284,1037,233455
"Kamiya, Hiroshi",107474,7.6,Shinigami Bocchan to Kuro Maid,28,Zain,1548,1002,242714
"Kamiya, Hiroshi",107474,7.34,Journey: Taiko Arabia Hantou de no Kiseki to Tatakai no Monogatari,8,Zurara,2687,5683,13484
"Kamiya, Hiroshi",107474,7.49,Natsume Yuujinchou: Hitoyoshi Kuma de no Yasashii Jikan,9953,"Natsume, Takashi",0,8469,5045
"Kamiya, Hiroshi",107474,7.51,Bakuten!!,73,"Watari, Koutarou",1910,2014,105518
"Kamiya, Hiroshi",107474,8.98,Fruits Basket: The Final,4,God,13,472,478693
"Kamiya, Hiroshi",107474,7.44,SSSS.Dynazenon,2,Juuga,2204,1714,131720
"Kamiya, Hiroshi",107474,5.99,Chocomatsu-san: White Day-hen,369,"Matsuno, Choromatsu",9922,11973,1599
"Kamiya, Hiroshi",107474,6.63,Ichiban Kuji Natsume Yuujinchou: Nyanko-sensei to Hana Shirabe,9953,"Natsume, Takashi",6647,11513,1882
"Kamiya, Hiroshi",107474,5.95,Chocomatsu-san: Valentine's Day-hen,369,"Matsuno, Choromatsu",10102,12010,1581
"Kamiya, Hiroshi",107474,8.17,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,9953,"Natsume, Takashi",426,3733,35936
"Kamiya, Hiroshi",107474,6.58,Nanatsu no Taizai: Funnu no Shinpan,29,Helbram,6900,534,427716
"Kamiya, Hiroshi",107474,7.98,Bungou Stray Dogs Wan!,7633,"Edogawa, Ranpo",673,1847,118311
"Kamiya, Hiroshi",107474,6.45,Skate-Leading☆Stars,24,"Shinozaki, Reo",7622,3451,41879
"Kamiya, Hiroshi",107474,6.12,An Jie Shen Shi,0,"Jiang, Yao",9342,14093,852
"Kamiya, Hiroshi",107474,8.79,Shingeki no Kyojin: The Final Season,141320,Levi,34,35,2000026
"Kamiya, Hiroshi",107474,6.08,Gebäude Bäude,0,Gebäude-Bäude,9509,12101,1537
"Kamiya, Hiroshi",107474,8.34,Tian Guan Cifu,2464,"Xie, Lian",224,1573,146054
"Kamiya, Hiroshi",107474,7.43,Osomatsu-san 3rd Season,369,"Matsuno, Choromatsu",2262,4579,23030
"Kamiya, Hiroshi",107474,7.43,Osomatsu-san 3rd Season,0,"Kamiya, Hiroshi",2262,4579,23030
"Kamiya, Hiroshi",107474,7.27,Taisou Zamurai,0,"Liu, Ryuushou",3074,2874,58807
"Kamiya, Hiroshi",107474,8.55,Haikyuu!! To the Top Part 2,78,"Takeda, Ittetsu",105,227,815559
"Kamiya, Hiroshi",107474,7.13,Crayon Shin-chan Movie 28: Gekitotsu! Rakuga Kingdom to Hobo Yonin no Yuusha,81,Buriburizaemon,3914,11157,2108
"Kamiya, Hiroshi",107474,7.77,Shingeki no Kyojin: Chronicle,141320,Levi,1087,2262,87979
"Kamiya, Hiroshi",107474,6.9,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,1,"Madoka, Soratsugu",5108,4339,26182
"Kamiya, Hiroshi",107474,7.98,Kakushigoto,369,"Gotou, Kakushi",664,726,329705
"Kamiya, Hiroshi",107474,7.48,Sekaiichi Hatsukoi: Propose-hen,81,"Yanase, Yuu",2052,4344,26131
"Kamiya, Hiroshi",107474,7.51,Tokyo Autumn Session,114,"Setoguchi, Yuu",0,7128,7744
"Kamiya, Hiroshi",107474,7.36,Isekai Quartet 2,7,Kyouhukou,2600,1029,235253
"Kamiya, Hiroshi",107474,8.36,Haikyuu!! To the Top,78,"Takeda, Ittetsu",214,172,937552
"Kamiya, Hiroshi",107474,8.11,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,22787,"Saiki, Kusuo",495,1087,222777
"Kamiya, Hiroshi",107474,6.28,Kyouryuu Shoujo Gauko,6,Bibilian,8582,11057,2184
"Kamiya, Hiroshi",107474,7.57,Pokemon (2019),0,Tsurugi,1702,2243,89455
"Kamiya, Hiroshi",107474,6.81,Osomatsu-san Movie: Zensetsu Gekijou,369,"Matsuno, Choromatsu",5586,10814,2356
"Kamiya, Hiroshi",107474,8.16,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,3,"Fork, Andrew",436,4374,25740
"Kamiya, Hiroshi",107474,6.46,Nanatsu no Taizai: Kamigami no Gekirin,29,Helbram,7584,273,728961
"Kamiya, Hiroshi",107474,6.59,Africa no Salaryman (TV),2,Caracal,6795,4286,26954
"Kamiya, Hiroshi",107474,8.05,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,3,"Fork, Andrew",570,4085,29746
"Kamiya, Hiroshi",107474,8.21,One Piece Movie 14: Stampede,20732,"Trafalgar, Law",363,1249,191750
"Kamiya, Hiroshi",107474,6.2,Pokemon Movie 22: Mewtwo no Gyakushuu Evolution,10,Sorao,8942,4237,27530
"Kamiya, Hiroshi",107474,8.45,Zoku Owarimonogatari,28901,"Araragi, Koyomi",153,1074,226758
"Kamiya, Hiroshi",107474,9.05,Shingeki no Kyojin Season 3 Part 2,141320,Levi,5,21,2278378
"Kamiya, Hiroshi",107474,8.21,Bungou Stray Dogs 3rd Season,7633,"Edogawa, Ranpo",370,339,635236
"Kamiya, Hiroshi",107474,7.85,Carole & Tuesday,31,Tao,899,729,328988
"Kamiya, Hiroshi",107474,8.27,Diamond no Ace: Act II,57,"Sanada, Shunpei",297,2221,90417
"Kamiya, Hiroshi",107474,7.88,Osomatsu-san Movie,369,"Matsuno, Choromatsu",848,5404,15293
"Kamiya, Hiroshi",107474,8.49,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,109,"Matou, Shinji",137,598,389677
"Kamiya, Hiroshi",107474,8.2,Saiki Kusuo no Ψ-nan: Kanketsu-hen,22787,"Saiki, Kusuo",380,1102,220379
"Kamiya, Hiroshi",107474,7.06,Nanatsu no Taizai: Eiyuu-tachi wa Hashagu,29,Helbram,4315,2413,79088
"Kamiya, Hiroshi",107474,7.62,K: Seven Stories Movie 5 - Memory of Red - Burn,7,"Habari, Jin",1482,4645,22379
"Kamiya, Hiroshi",107474,7.6,Shingeki no Kyojin Season 3 Specials,141320,Levi,1547,3680,37088
"Kamiya, Hiroshi",107474,7.17,Karakuri Circus,0,Cupidia,3672,1717,131435
"Kamiya, Hiroshi",107474,7.45,Kishuku Gakkou no Juliet,11,"Fold, Scott",2178,628,372318
"Kamiya, Hiroshi",107474,6.92,Inazuma Eleven: Orion no Kokuin,40,"Haizaki, Ryouhei",5004,4154,28675
"Kamiya, Hiroshi",107474,8.43,Natsume Yuujinchou Movie: Utsusemi ni Musubu,9953,"Natsume, Takashi",166,2542,72783
"Kamiya, Hiroshi",107474,7.3,K: Seven Stories Movie 2 - Side:Blue - Tenrou no Gotoku,7,"Habari, Jin",2928,4461,24603
"Kamiya, Hiroshi",107474,6.71,Muhyo to Rouji no Mahouritsu Soudan Jimusho,1,"Madoka, Soratsugu",6155,3043,52914
"Kamiya, Hiroshi",107474,8.62,Shingeki no Kyojin Season 3,141320,Levi,81,18,2368980
"Kamiya, Hiroshi",107474,7.92,Overlord III,7,Kyouhukou,760,189,909501
"Kamiya, Hiroshi",107474,6.83,Devils Line,3,"Makimura, Takeshi",5480,902,270192
"Kamiya, Hiroshi",107474,6.7,Inazuma Eleven: Ares no Tenbin,40,"Haizaki, Ryouhei",6222,3456,41807
"Kamiya, Hiroshi",107474,7.78,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,3,"Fork, Andrew",1059,2287,86213
"Kamiya, Hiroshi",107474,7.28,Gegege no Kitarou (2018),0,"Isurugi, Rei",3024,3098,50932
"Kamiya, Hiroshi",107474,6.99,Fei Ren Zai,0,Guan Yin,4682,8792,4584
"Kamiya, Hiroshi",107474,7.92,Bungou Stray Dogs: Dead Apple,7633,"Edogawa, Ranpo",767,862,281378
"Kamiya, Hiroshi",107474,6.3,Fate/Extra: Last Encore,109,"Matou, Shinji",8474,1090,222112
"Kamiya, Hiroshi",107474,6.63,Kujira no Kora wa Sajou ni Manabu!,34,Shuan,6599,6317,10341
"Kamiya, Hiroshi",107474,7.79,Emiya-san Chi no Kyou no Gohan,109,"Matou, Shinji",1032,1704,132493
"Kamiya, Hiroshi",107474,8.42,Saiki Kusuo no Ψ-nan 2,22787,"Saiki, Kusuo",176,328,643074
"Kamiya, Hiroshi",107474,7.88,Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,141320,Levi,852,2550,72113
"Kamiya, Hiroshi",107474,7.57,Nanatsu no Taizai: Imashime no Fukkatsu,29,Helbram,1697,128,1126645
"Kamiya, Hiroshi",107474,6.22,Beatless,1,"Watarai, Ginga",8837,1364,173364
"Kamiya, Hiroshi",107474,6.85,Micchiri Neko,8,Piyopiyo,5410,6781,8753
"Kamiya, Hiroshi",107474,7.46,Itsudatte Bokura no Koi wa 10 cm Datta.,114,"Setoguchi, Yuu",2124,1052,231523
"Kamiya, Hiroshi",107474,8.16,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,109,"Matou, Shinji",435,496,456306
"Kamiya, Hiroshi",107474,6.58,Road to You,0,Ryouta,6911,5887,12274
"Kamiya, Hiroshi",107474,7.17,Kujira no Kora wa Sajou ni Utau,34,Shuan,3674,1056,231116
"Kamiya, Hiroshi",107474,7.63,Osomatsu-san 2nd Season,369,"Matsuno, Choromatsu",1476,2981,54937
"Kamiya, Hiroshi",107474,8.23,Haikyuu!! Movie 4: Concept no Tatakai,78,"Takeda, Ittetsu",331,2280,86722
"Kamiya, Hiroshi",107474,8.41,Natsume Yuujinchou Roku Specials,9953,"Natsume, Takashi",180,3212,47410
