Name,Favorite,Rating,AniName,FavChar,CharName,Ranked,Popularity,Members
"Wakamoto, Norio",7201,6.58,Muv-Luv Alternative 2nd Season,0,"Radhabinod, Paul",6910,5135,17493
"Wakamoto, Norio",7201,7.57,Dragon Ball Super: Super Hero,779,Cell,1684,1973,108751
"Wakamoto, Norio",7201,5.87,Muv-Luv Alternative,0,"Radhabinod, Paul",10443,3472,41491
"Wakamoto, Norio",7201,7.28,Kyuuketsuki Sugu Shinu,0,Demekin,3048,2208,91191
"Wakamoto, Norio",7201,6.35,Getter Robo Arc,1,Bat,8178,7943,5933
"Wakamoto, Norio",7201,8.47,Gintama: The Semi-Final,111,"Matsudaira, Katakuriko",150,2439,77621
"Wakamoto, Norio",7201,9.04,Gintama: The Final,111,"Matsudaira, Katakuriko",6,1531,150788
"Wakamoto, Norio",7201,6.51,100-man no Inochi no Ue ni Ore wa Tatteiru,14,Game Master,7326,833,293798
"Wakamoto, Norio",7201,5.76,Duel Masters King,2,"Kamamoto, Jouji",10881,13606,976
"Wakamoto, Norio",7201,6.03,Tales of the Rays: Everlasting Destiny,6,"Goetia, Barbatos",9755,12664,1282
"Wakamoto, Norio",7201,7.91,Code Geass: Fukkatsu no Lelouch,94,"zi Britannia, Charles",777,761,315177
"Wakamoto, Norio",7201,6.2,Gakuen Basara,47,"Oda, Nobunaga",8928,4996,18975
"Wakamoto, Norio",7201,6.83,Toaru Majutsu no Index III,1,"Busoni, Biagio",5528,966,252976
"Wakamoto, Norio",7201,8.88,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,111,"Matsudaira, Katakuriko",24,1215,199152
"Wakamoto, Norio",7201,7.16,Planet With,1,Kakka,3769,2906,57591
"Wakamoto, Norio",7201,5.36,Super Dragon Ball Heroes,779,Cell,12151,2490,75189
"Wakamoto, Norio",7201,6.18,Tales of HR,6,"Goetia, Barbatos",9047,12186,1498
"Wakamoto, Norio",7201,6.18,Tales of HR,0,Barbatos,9047,12186,1498
"Wakamoto, Norio",7201,7.98,Code Geass: Hangyaku no Lelouch III - Oudou,94,"zi Britannia, Charles",677,2169,94021
"Wakamoto, Norio",7201,6.36,Fumikiri Jikan,0,Hassaku Ojisan,8156,3399,43077
"Wakamoto, Norio",7201,7.66,Code Geass: Hangyaku no Lelouch II - Handou,94,"zi Britannia, Charles",1380,2502,74844
"Wakamoto, Norio",7201,8.81,Gintama.: Shirogane no Tamashii-hen,111,"Matsudaira, Katakuriko",32,1138,213231
"Wakamoto, Norio",7201,7.29,Poputepipikku,329,Pipimi,2967,1084,223813
"Wakamoto, Norio",7201,7.89,Code Geass: Hangyaku no Lelouch I - Koudou,94,"zi Britannia, Charles",830,2054,102119
"Wakamoto, Norio",7201,7.9,Hoozuki no Reitetsu 2nd Season,0,Mr. Kan,812,3209,47577
"Wakamoto, Norio",7201,8.52,Gintama.: Porori-hen,111,"Matsudaira, Katakuriko",121,1193,202105
"Wakamoto, Norio",7201,7.69,Meitantei Conan Movie 21: Karakurenai no Love Letter,0,"Ootaki, Gorou",1307,3961,32120
"Wakamoto, Norio",7201,7.17,Uta no☆Prince-sama♪ Maji Love Legend Star,20,"Saotome, Shining",3711,3430,42338
"Wakamoto, Norio",7201,5.36,Big Order (TV),0,"Soumoku, Kokudo",12133,1044,232586
"Wakamoto, Norio",7201,7.9,Ushio to Tora (TV) 2nd Season,0,Guren,798,1695,132975
"Wakamoto, Norio",7201,9.06,Gintama°,111,"Matsudaira, Katakuriko",4,343,631481
"Wakamoto, Norio",7201,7.03,Uta no☆Prince-sama♪ Maji Love Revolutions,20,"Saotome, Shining",4463,2827,60595
"Wakamoto, Norio",7201,6.88,Dog Days'',1,"Dorure, Godwin",5240,2503,74824
"Wakamoto, Norio",7201,7.82,Gekkan Shoujo Nozaki-kun,1,Narrator,966,178,929294
"Wakamoto, Norio",7201,7.09,Hayate no Gotoku! OVA,49,Ten no Koe (Narrator),4162,5674,13541
"Wakamoto, Norio",7201,7.7,Dragon Ball Kai (2014),779,Cell,1264,1240,192936
"Wakamoto, Norio",7201,7.65,Fairy Tail (2014),4,Celestial Spirit King,1418,157,997498
"Wakamoto, Norio",7201,6.19,Wizard Barristers: Benmashi Cecil,1,Nana Djinni,8982,2880,58479
"Wakamoto, Norio",7201,7.24,Uta no☆Prince-sama♪ Maji Love 2000%: Shining Star Xmas,20,"Saotome, Shining",3266,4271,27150
"Wakamoto, Norio",7201,6.65,Bayonetta: Bloody Fate,1,Balder,6501,3039,53013
"Wakamoto, Norio",7201,7.25,Blood Lad,3,"Wolf, Father",3199,292,689469
"Wakamoto, Norio",7201,7.29,Mirai Nikki: Redial,140,Deus Ex Machina,2962,662,355306
"Wakamoto, Norio",7201,7.69,Meitantei Conan Movie 17: Zekkai no Private Eye,0,"Ootaki, Gorou",1306,3568,39528
"Wakamoto, Norio",7201,7.18,Uta no☆Prince-sama♪ Maji Love 2000%,20,"Saotome, Shining",3629,1909,113269
"Wakamoto, Norio",7201,7.4,Dragon Ball Z Movie 14: Kami to Kami,779,Cell,2391,1088,222304
"Wakamoto, Norio",7201,6.22,Code Geass: Soubou no Oz Picture Drama,94,"zi Britannia, Charles",8855,5466,14823
"Wakamoto, Norio",7201,9.02,Gintama': Enchousen,111,"Matsudaira, Katakuriko",11,738,325788
"Wakamoto, Norio",7201,8.43,Gintama: Yorinuki Gintama-san on Theater 2D,111,"Matsudaira, Katakuriko",162,3331,44526
"Wakamoto, Norio",7201,6.45,Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland,94,"zi Britannia, Charles",7661,2554,72046
"Wakamoto, Norio",7201,7.0,Dog Days',1,"Dorure, Godwin",4622,2016,105283
"Wakamoto, Norio",7201,8.34,Uchuu Senkan Yamato 2199,0,"Helm, Zoellick",225,1879,115722
"Wakamoto, Norio",7201,6.47,Mirai Nikki (TV): Ura Mirai Nikki,140,Deus Ex Machina,7521,2873,58891
"Wakamoto, Norio",7201,6.87,s.CRY.ed Alteration I: Tao,0,Narrator,5287,8402,5182
"Wakamoto, Norio",7201,7.4,Mirai Nikki (TV),140,Deus Ex Machina,2410,34,2013331
"Wakamoto, Norio",7201,6.67,Maji de Watashi ni Koi Shinasai!,1,Motosouri,6414,791,304729
"Wakamoto, Norio",7201,7.32,Mardock Scramble: The Second Combustion,1,Medium the Fingernail,2800,3526,40416
"Wakamoto, Norio",7201,7.54,Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,779,Cell,1809,3145,49561
"Wakamoto, Norio",7201,7.02,Uta no☆Prince-sama♪ Maji Love 1000%,20,"Saotome, Shining",4548,1213,199237
"Wakamoto, Norio",7201,7.94,Nurarihyon no Mago: Sennen Makyou,0,Takarabune,736,1436,163877
"Wakamoto, Norio",7201,7.59,Sengoku Basara Movie: The Last Party,47,"Oda, Nobunaga",1596,4072,29998
"Wakamoto, Norio",7201,6.47,Dororon Enma-kun Meeramera,0,King Enma,7505,5028,18532
"Wakamoto, Norio",7201,8.21,SKET Dance,0,Kamei,365,1080,225634
"Wakamoto, Norio",7201,9.03,Gintama',111,"Matsudaira, Katakuriko",8,393,556927
"Wakamoto, Norio",7201,8.47,Nichijou,22,Narrator,146,191,897879
"Wakamoto, Norio",7201,6.86,Dog Days,1,"Dorure, Godwin",5330,1273,188579
"Wakamoto, Norio",7201,5.09,Spelunker Sensei,1,Narrator,12638,10017,3009
"Wakamoto, Norio",7201,7.52,Toaru Majutsu no Index II,1,"Busoni, Biagio",1898,491,461652
"Wakamoto, Norio",7201,7.42,Mardock Scramble: The First Compression,1,Medium the Fingernail,2325,2529,73405
"Wakamoto, Norio",7201,7.26,Super Robot Taisen OG: The Inspector,0,"Einst, Regisseur",3163,6345,10242
"Wakamoto, Norio",7201,7.51,Sengoku Basara Ni,47,"Oda, Nobunaga",1947,2595,70553
"Wakamoto, Norio",7201,8.52,Gintama Movie 1: Shinyaku Benizakura-hen,111,"Matsudaira, Katakuriko",120,1433,164645
"Wakamoto, Norio",7201,7.48,Meitantei Conan Magic File 4: Osaka Okonomiyaki Odyssey,0,"Ootaki, Gorou",2049,6008,11721
"Wakamoto, Norio",7201,6.14,Duel Masters Cross Shock,2,"Kamamoto, Jouji",9226,11007,2223
"Wakamoto, Norio",7201,5.98,Quiz Magic Academy: The Original Animation 2,1,Garuda,10003,8209,5499
"Wakamoto, Norio",7201,6.91,Kiddy GiRL-AND,2,"D'Autriche, Chevalier",5087,5063,18207
"Wakamoto, Norio",7201,6.91,Kiddy GiRL-AND,0,T.A.M.A,5087,5063,18207
"Wakamoto, Norio",7201,7.57,Fairy Tail,4,Celestial Spirit King,1685,53,1739517
"Wakamoto, Norio",7201,5.84,Duel Masters Movie 2: Lunatic God Saga,2,"Kamamoto, Jouji",10542,12870,1196
"Wakamoto, Norio",7201,7.78,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,94,"zi Britannia, Charles",1056,3155,49212
"Wakamoto, Norio",7201,6.69,Princess Lover!,0,"Arima, Isshin",6269,1065,229144
"Wakamoto, Norio",7201,6.93,Makai Kishi Ingrid,11,"Black, Edwin",0,5490,14651
"Wakamoto, Norio",7201,6.32,Tayutayu: Pure My Heart,0,"Mito, Yuudou",8373,6933,8336
"Wakamoto, Norio",7201,7.09,Tenjoubito to Akutobito Saigo no Tatakai,1,Gntaru,4148,6954,8281
"Wakamoto, Norio",7201,6.73,Tayutama: Kiss on My Deity,0,"Mito, Yuudou",6039,2587,70898
"Wakamoto, Norio",7201,7.75,Dragon Ball Kai,779,Cell,1132,590,392782
"Wakamoto, Norio",7201,7.67,Hayate no Gotoku!!,49,Ten no Koe (Narrator),1341,1880,115599
"Wakamoto, Norio",7201,7.33,Sengoku Basara,47,"Oda, Nobunaga",2792,1449,162235
"Wakamoto, Norio",7201,6.61,"Koihime†Musou: Gunyuu, Seitoukaichou no Za wo Neratte Aiarasou no Koto - Ato, Porori mo Aru yo!",1,Chousen,6748,6273,10508
"Wakamoto, Norio",7201,7.3,Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!,49,Ten no Koe (Narrator),2930,3613,38586
"Wakamoto, Norio",7201,7.11,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,1,Gntaru,4051,3481,41347
"Wakamoto, Norio",7201,7.74,Tetsuwan Birdy Decode:02,1,Scherzo,1166,3050,52658
"Wakamoto, Norio",7201,7.58,Ga-Rei: Zero,9,Nabuu Brothers,1632,1014,239182
"Wakamoto, Norio",7201,7.28,Kannagi,0,Drunk,3040,1385,170154
"Wakamoto, Norio",7201,6.05,Quiz Magic Academy: The Original Animation,1,Garuda,9680,6262,10559
"Wakamoto, Norio",7201,7.44,Tetsuwan Birdy Decode,1,Scherzo,2216,2121,97325
"Wakamoto, Norio",7201,7.03,Seiyou Kottou Yougashiten: Antique,0,"Akutagawa, Tadahiro",4517,3585,39148
"Wakamoto, Norio",7201,7.55,Golgo 13 (TV),1,Sheriff,1764,3390,43203
"Wakamoto, Norio",7201,8.91,Code Geass: Hangyaku no Lelouch R2,94,"zi Britannia, Charles",19,47,1783095
"Wakamoto, Norio",7201,7.14,Druaga no Tou: The Aegis of Uruk,0,Door's Voice,3898,1838,119105
"Wakamoto, Norio",7201,6.25,Duel Masters Cross,2,"Kamamoto, Jouji",8695,10782,2394
"Wakamoto, Norio",7201,8.09,Baccano! Specials,7,"St. Germain, Gustav",515,1337,179434
"Wakamoto, Norio",7201,7.58,Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,94,"zi Britannia, Charles",1626,3438,42191
"Wakamoto, Norio",7201,6.32,Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,1,Koujun,8381,8040,5757
"Wakamoto, Norio",7201,5.93,Duel Masters Zero,2,"Kamamoto, Jouji",10178,11225,2073
"Wakamoto, Norio",7201,7.12,Myself; Yourself,2,Electromagnetic Shogun,4021,1283,186670
"Wakamoto, Norio",7201,6.17,Hello Kitty: Ringo no Mori to Parallel Town,0,Makkuro,9094,14081,860
"Wakamoto, Norio",7201,6.77,Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku,0,"Torii, Youzou",5846,10018,3008
"Wakamoto, Norio",7201,8.36,Baccano!,7,"St. Germain, Gustav",213,190,906736
"Wakamoto, Norio",7201,8.42,Mononoke,15,Umizatou,175,732,328276
"Wakamoto, Norio",7201,5.97,Zero Duel Masters,2,"Kamamoto, Jouji",10031,10328,2744
"Wakamoto, Norio",7201,7.89,Terra e... (TV),0,Narrator,828,2788,62282
"Wakamoto, Norio",7201,7.24,Oh! Edo Rocket,0,"Torii, Youzou",3308,5764,12969
"Wakamoto, Norio",7201,7.51,Hayate no Gotoku!,49,Ten no Koe (Narrator),1929,1075,226651
"Wakamoto, Norio",7201,6.82,Taimanin Asagi,11,"Black, Edwin",0,4721,21529
"Wakamoto, Norio",7201,6.23,Juusou Kikou Dancougar Nova,0,Willl,8795,7784,6235
"Wakamoto, Norio",7201,7.02,Code Geass: Hangyaku no Lelouch Recaps,94,"zi Britannia, Charles",4563,3665,37402
"Wakamoto, Norio",7201,6.85,Tenpou Ibun: Ayakashi Ayashi,0,"Torii, Youzou",5390,5165,17234
"Wakamoto, Norio",7201,7.07,Mamoru-kun ni Megami no Shukufuku wo!,0,"Takasu, Naoyuki",4265,4242,27478
"Wakamoto, Norio",7201,8.7,Code Geass: Hangyaku no Lelouch,94,"zi Britannia, Charles",57,22,2252936
"Wakamoto, Norio",7201,6.88,Super Robot Taisen OG: Divine Wars,0,"Branstein, Maier von",5213,6951,8292
"Wakamoto, Norio",7201,7.56,Shounen Onmyouji,1,Kyuuki,1729,2939,56385
"Wakamoto, Norio",7201,8.01,D.Gray-man,14,"Sokaro, Winters",637,289,693110
"Wakamoto, Norio",7201,6.16,Kimi ga Nozomu Eien: Ayu Mayu Gekijou,0,"Radhabinod, Paul",9160,7558,6698
"Wakamoto, Norio",7201,6.3,Yoshinaga-san'chi no Gargoyle Specials,3,Gargoyle,8465,12387,1395
"Wakamoto, Norio",7201,5.85,Shin Onimusha: Dawn of Dreams the Story,0,"Ishida, Mitsunari",10504,12167,1505
"Wakamoto, Norio",7201,6.58,Tsuyokiss,0,"Tachibana, Heizou",6880,4859,20227
"Wakamoto, Norio",7201,6.57,Kishin Houkou Demonbane (TV),1,Augustus,6931,3684,37033
"Wakamoto, Norio",7201,8.05,Meitantei Conan Movie 10: Tantei-tachi no Requiem,0,"Ootaki, Gorou",576,2933,56643
"Wakamoto, Norio",7201,6.59,Himesama Goyoujin,0,Chief X,6832,10013,3013
"Wakamoto, Norio",7201,7.56,Aa! Megami-sama! Sorezore no Tsubasa,3,Senbei,1735,2666,67278
"Wakamoto, Norio",7201,7.25,Inukami!,3,Sekidousai,3217,2603,70056
"Wakamoto, Norio",7201,8.94,Gintama,111,"Matsudaira, Katakuriko",15,140,1066145
"Wakamoto, Norio",7201,7.13,Yoshinaga-sanchi no Gargoyle,3,Gargoyle,3979,8190,5529
"Wakamoto, Norio",7201,6.15,Soul Link,0,"Morimoto, Shigemichi",9189,4609,22774
"Wakamoto, Norio",7201,8.35,Hellsing Ultimate,1725,"Anderson, Alexander",217,174,932405
"Wakamoto, Norio",7201,7.6,Hellsing: Digest for Freaks,1725,"Anderson, Alexander",1570,3324,44600
"Wakamoto, Norio",7201,5.95,Gunparade Orchestra,4,"Penguin, Hard-Boiled",10112,8490,5026
"Wakamoto, Norio",7201,6.77,Canvas 2: Nijiiro no Sketch,0,"Misaki, Jiro",5809,4265,27221
"Wakamoto, Norio",7201,7.55,Basilisk: Kouga Ninpou Chou,0,"Yagyu, Munenori",1755,1267,189306
"Wakamoto, Norio",7201,5.73,Duel Masters Movie 1: Yami no Shiro no Maryuuou,2,"Kamamoto, Jouji",10995,12190,1495
"Wakamoto, Norio",7201,7.33,Aa! Megami-sama! (TV),3,Senbei,2743,1463,160634
"Wakamoto, Norio",7201,6.94,Mahou Sensei Negima!,0,Ma Shougun,4925,1616,141627
"Wakamoto, Norio",7201,7.39,Sunabouzu,97,Amagumo,2437,1628,140358
"Wakamoto, Norio",7201,7.21,Yu☆Gi☆Oh! Duel Monsters GX,1,Titan,3450,1112,218432
"Wakamoto, Norio",7201,6.38,Zoids Fuzors,0,Roger,8047,6075,11368
"Wakamoto, Norio",7201,6.92,Ninin ga Shinobuden,194,Onsokumaru,5029,3758,35489
"Wakamoto, Norio",7201,8.51,Samurai Champloo,13,Bundai,131,109,1241011
"Wakamoto, Norio",7201,6.3,Duel Masters Charge,2,"Kamamoto, Jouji",8476,8090,5673
"Wakamoto, Norio",7201,7.66,Tetsujin 28-gou (2004),0,"Murasame, Ryuusaku",1369,7921,5962
"Wakamoto, Norio",7201,7.72,Keroro Gunsou,1,Shurara,1226,2436,77676
"Wakamoto, Norio",7201,7.43,Gokusen,11,"Ooshima, Kyotarou",2248,3230,46904
"Wakamoto, Norio",7201,7.61,Chrno Crusade,7,"Duffau, Duke",1524,1072,227222
"Wakamoto, Norio",7201,6.51,F-Zero: Falcon Densetsu,3,Black Shadow,7334,6537,9598
"Wakamoto, Norio",7201,6.51,F-Zero: Falcon Densetsu,0,Deathborn,7334,6537,9598
"Wakamoto, Norio",7201,8.27,Planetes,4,"Gangaragash, Gigalt",293,959,254507
"Wakamoto, Norio",7201,7.13,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,5,Nagamimi,3944,3558,39645
"Wakamoto, Norio",7201,7.9,Sakigake!! Cromartie Koukou,318,"Mechazawa, Shinichi",817,1632,139884
"Wakamoto, Norio",7201,7.9,Sakigake!! Cromartie Koukou,0,Sushi Chef,817,1632,139884
