Name,Favorite,Rating,AniName,FavChar,CharName,Ranked,Popularity,Members
"Taketatsu, Ayana",14089,0,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",11,"In Empire, Risya",0,3179,48637
"Taketatsu, Ayana",14089,6.92,Grimm Kumikyoku,0,Rose,5007,4867,20193
"Taketatsu, Ayana",14089,8.08,Date A Live V,2120,"Itsuka, Kotori",529,2258,88309
"Taketatsu, Ayana",14089,0,Ramen wo Tabete Iru Toki dake Naze ka Nounai de Kaiwa ga Dekiru Futari,0,Saki,0,20648,186
"Taketatsu, Ayana",14089,8,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,2975,"Karuizawa, Kei",655,659,356137
"Taketatsu, Ayana",14089,0,Bleach: Sennen Kessen-hen - Soukoku-tan,191,"Basterbine, Bambietta",0,2858,59513
"Taketatsu, Ayana",14089,7.05,Kanojo mo Kanojo Season 2,327,"Hoshizaki, Rika",4343,2168,94055
"Taketatsu, Ayana",14089,7.58,Arknights: Touin Kiro,211,W,1625,3450,41921
"Taketatsu, Ayana",14089,9.37,Sousou no Frieren,58,Aura,1,272,730033
"Taketatsu, Ayana",14089,8.01,5-toubun no Hanayome∽,14643,"Nakano, Nino",633,2624,68889
"Taketatsu, Ayana",14089,8.69,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,191,"Basterbine, Bambietta",58,899,270653
"Taketatsu, Ayana",14089,7.67,Dekiru Neko wa Kyou mo Yuuutsu,1,Yume,1337,2081,99702
"Taketatsu, Ayana",14089,6.63,Yuusha ga Shinda!,31,"Hazeworth, Anri",6631,1827,120116
"Taketatsu, Ayana",14089,6.35,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",34,"Kazama, Kaede",8183,840,290456
"Taketatsu, Ayana",14089,7.76,The iDOLM@STER Cinderella Girls: U149,130,"Koshimizu, Sachiko",1122,5413,15175
"Taketatsu, Ayana",14089,7.21,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,10,Frederica,3475,1067,229091
"Taketatsu, Ayana",14089,7.57,Kubo-san wa Mob wo Yurusanai,5,"Taira, Tamao",1694,1219,198371
"Taketatsu, Ayana",14089,6.6,Nokemono-tachi no Yoru,8,Wisteria,6770,3482,41333
"Taketatsu, Ayana",14089,6.39,KanColle: Itsuka Ano Umi de,205,Yamato,7943,3055,52511
"Taketatsu, Ayana",14089,7.08,Arknights: Reimei Zensou,211,W,4221,2017,105196
"Taketatsu, Ayana",14089,6.72,Renai Flops,87,"Irving, Amelia",6095,1624,140971
"Taketatsu, Ayana",14089,9.02,Bleach: Sennen Kessen-hen,191,"Basterbine, Bambietta",9,410,542064
"Taketatsu, Ayana",14089,5.97,Peter Grill to Kenja no Jikan: Super Extra,36,"Alpacas, Mimi",0,2824,60707
"Taketatsu, Ayana",14089,6.86,Megaton-kyuu Musashi 2nd Season,0,"Nishino, Kiyoka",5358,9056,4173
"Taketatsu, Ayana",14089,7.62,Akiba Meido Sensou,3,Wuv-Wuv Moonbeam Manager,1505,1510,154248
"Taketatsu, Ayana",14089,7.91,Berserk: Ougon Jidai-hen - Memorial Edition,2,Erica,775,3503,40953
"Taketatsu, Ayana",14089,7.26,Uzaki-chan wa Asobitai! Double,66,"Asai, Ami",3167,1120,217293
"Taketatsu, Ayana",14089,7.22,Akuyaku Reijou nanode Last Boss wo Kattemimashita,1,"Gilbert, Selena",3368,1392,169688
"Taketatsu, Ayana",14089,6.8,Uchi no Shishou wa Shippo ga Nai,0,"Kirino, Enshi",5690,4437,24973
"Taketatsu, Ayana",14089,8.11,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,2975,"Karuizawa, Kei",485,336,637590
"Taketatsu, Ayana",14089,5.47,Idol Bu Show Movie,0,"Mori, Nagaho",11855,13515,1004
"Taketatsu, Ayana",14089,7.85,5-toubun no Hanayome Movie,14643,"Nakano, Nino",898,1004,242233
"Taketatsu, Ayana",14089,7.77,Date A Live IV,2120,"Itsuka, Kotori",1098,970,251281
