Name,Favorite,Rating,AniName,FavChar,CharName,Ranked,Popularity,Members
"Inoue, Kikuko",1850,0,Shy 2nd Season,0,Uni-Lord,0,6680,9099
"Inoue, Kikuko",1850,6.92,Grimm Kumikyoku,0,Mama,5036,4854,20315
"Inoue, Kikuko",1850,7.7,Shinigami Bocchan to Kuro Maid 3rd Season,1,"Lendrott, Sharon",1287,3796,34589
"Inoue, Kikuko",1850,8.69,Hibike! Euphonium 3,0,"Kousaka, Naomi",60,2986,54861
"Inoue, Kikuko",1850,7.79,Urusei Yatsura (2022) 2nd Season,0,Mendou's Mother,1048,3535,40090
"Inoue, Kikuko",1850,7.22,Gekai Elise,0,Yodel,3406,2494,75130
"Inoue, Kikuko",1850,7.71,Mahou Shoujo ni Akogarete,12,Sister Gigant,1244,1738,129012
"Inoue, Kikuko",1850,6.96,Komada Jouryuusho e Youkoso,0,"Komada, Mio",4831,7008,8123
"Inoue, Kikuko",1850,7.08,Kikansha no Mahou wa Tokubetsu desu,2,Brigette,4219,1876,115918
"Inoue, Kikuko",1850,6.31,Buta no Liver wa Kanetsu Shiro,0,Wyss,8412,3532,40202
"Inoue, Kikuko",1850,7.12,Tate no Yuusha no Nariagari Season 3,278,"Melromarc, Mirelia Q",4006,542,424517
"Inoue, Kikuko",1850,6.75,Shy,0,Uni-Lord,5963,2882,58440
"Inoue, Kikuko",1850,7.47,Kamonohashi Ron no Kindan Suiri,0,"Emmerich, Aimee",2073,1841,118797
"Inoue, Kikuko",1850,6.67,Hataraku Maou-sama!! 2nd Season,1,Lailah,6426,1700,132854
"Inoue, Kikuko",1850,7.6,Shinigami Bocchan to Kuro Maid 2nd Season,1,"Lendrott, Sharon",1561,2421,78812
"Inoue, Kikuko",1850,7.11,Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,0,"Royal Ivy, Rosa",4117,2290,86105
"Inoue, Kikuko",1850,7.44,Oooku,1,"no Tsubone, Kasuga",2214,4563,23238
"Inoue, Kikuko",1850,7.71,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",5,"Yukinoshita, Mother",1250,1964,109319
