Name,Favorite,Rating,AniName,FavChar,CharName,Ranked,Popularity,Members
"Lowenthal, Yuri",3279,6.62,Onimusha,0,Sahei,6701,5936,12052
"Lowenthal, Yuri",3279,8.69,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,41,"Asano, Keigo",58,899,270653
"Lowenthal, Yuri",3279,7.58,Tiger & Bunny 2 Part 2,356,"Brooks Jr., Barnaby",1658,6478,9804
"Lowenthal, Yuri",3279,7.47,Tiger & Bunny 2,356,"Brooks Jr., Barnaby",2077,4574,23146
"Lowenthal, Yuri",3279,8.19,Kotarou wa Hitorigurashi,0,Real Estate Agent,394,1509,154353
"Lowenthal, Yuri",3279,8.19,Kotarou wa Hitorigurashi,0,Lawyer,394,1509,154353
"Lowenthal, Yuri",3279,6.48,Gal to Kyouryuu,0,Shouta,7494,3905,32962
"Lowenthal, Yuri",3279,6.85,Dragon Quest: Your Story,2,Luka,5407,5268,16290
"Lowenthal, Yuri",3279,7.91,Promare,5,Meis,789,866,280515
"Lowenthal, Yuri",3279,6.88,Promare: Galo-hen,5,Meis,5272,4158,28612
"Lowenthal, Yuri",3279,7.02,Promare: Lio-hen,5,Meis,4539,4123,29194
"Lowenthal, Yuri",3279,7.91,Code Geass: Fukkatsu no Lelouch,3897,"Kururugi, Suzaku",777,761,315177
"Lowenthal, Yuri",3279,6.34,FLCL Progressive,1,"Nogata, Marco",8239,1691,133113
"Lowenthal, Yuri",3279,6.08,Ninja Batman,2,"Wayne, Damian",9537,2881,58448
"Lowenthal, Yuri",3279,5.7,Marvel Future Avengers,1,"Barnes, James Buchanan",11097,8545,4958
"Lowenthal, Yuri",3279,6.02,Boruto: Naruto Next Generations,29000,"Uchiha, Sasuke",9788,202,865193
"Lowenthal, Yuri",3279,7.56,Durarara!!x2 Ketsu: Dufufufu!!,1075,"Kishitani, Shinra",1745,2949,56017
"Lowenthal, Yuri",3279,7.67,Kidou Senshi Gundam Unicorn RE:0096,7,"Marcenas, Riddhe",1348,3770,35236
"Lowenthal, Yuri",3279,7.14,Code Geass: Boukoku no Akito 5 - Itoshiki Mono-tachi e,3897,"Kururugi, Suzaku",3893,2231,90039
"Lowenthal, Yuri",3279,7.52,Durarara!!x2 Ten: Onoroke Chakapoko,1075,"Kishitani, Shinra",1873,3005,53917
"Lowenthal, Yuri",3279,8.05,Durarara!!x2 Ketsu,1075,"Kishitani, Shinra",570,616,379976
"Lowenthal, Yuri",3279,5.1,UFO Gakuen no Himitsu,0,Tyler,12620,9861,3185
"Lowenthal, Yuri",3279,7.39,Boruto: Naruto the Movie,29000,"Uchiha, Sasuke",2450,482,466358
"Lowenthal, Yuri",3279,7.66,Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,1075,"Kishitani, Shinra",1383,2661,67368
"Lowenthal, Yuri",3279,7.22,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara,3897,"Kururugi, Suzaku",3375,2029,103872
"Lowenthal, Yuri",3279,7.97,Durarara!!x2 Ten,1075,"Kishitani, Shinra",689,578,396907
"Lowenthal, Yuri",3279,7.28,Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,3897,"Kururugi, Suzaku",3020,1896,114561
"Lowenthal, Yuri",3279,7.98,Durarara!!x2 Shou,1075,"Kishitani, Shinra",679,464,485042
"Lowenthal, Yuri",3279,7.79,The Last: Naruto the Movie,29000,"Uchiha, Sasuke",1041,356,610450
"Lowenthal, Yuri",3279,6.59,Tenkai Knights,3,"Inukai, Gen",6864,8262,5412
"Lowenthal, Yuri",3279,7.73,Tiger & Bunny Movie 2: The Rising,356,"Brooks Jr., Barnaby",1205,3954,32200
"Lowenthal, Yuri",3279,6.65,Bayonetta: Bloody Fate,5,"Redgrave, Luka",6505,3039,53013
"Lowenthal, Yuri",3279,7.46,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,3897,"Kururugi, Suzaku",2117,1655,136982
"Lowenthal, Yuri",3279,7.41,Tiger & Bunny Movie 1: The Beginning,356,"Brooks Jr., Barnaby",2360,4335,26307
"Lowenthal, Yuri",3279,7.49,Persona 4 the Animation: No One is Alone,785,"Hanamura, Yousuke",2007,3257,46210
"Lowenthal, Yuri",3279,7.68,Naruto: Shippuuden Movie 6 - Road to Ninja,29000,"Uchiha, Sasuke",1319,678,349971
"Lowenthal, Yuri",3279,7.52,Persona 4 the Animation,785,"Hanamura, Yousuke",1893,919,264728
"Lowenthal, Yuri",3279,7.85,Tiger & Bunny,356,"Brooks Jr., Barnaby",915,1070,227880
"Lowenthal, Yuri",3279,7.62,Bleach Movie 4: Jigoku-hen,41,"Asano, Keigo",1507,1128,215971
"Lowenthal, Yuri",3279,7.84,Durarara!! Specials,1075,"Kishitani, Shinra",925,1403,168510
"Lowenthal, Yuri",3279,6.96,Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,29000,"Uchiha, Sasuke",4808,2979,54992
"Lowenthal, Yuri",3279,8.11,Kidou Senshi Gundam Unicorn,7,"Marcenas, Riddhe",492,2084,99583
"Lowenthal, Yuri",3279,7.98,Eve no Jikan (Movie),11,"Sakisaka, Rikuo",680,1770,125182
"Lowenthal, Yuri",3279,8.1,Durarara!!,1075,"Kishitani, Shinra",508,90,1408088
"Lowenthal, Yuri",3279,8.58,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,15498,Simon,94,1119,217310
"Lowenthal, Yuri",3279,7.35,Afro Samurai: Resurrection,116,Jinno,2664,2000,106440
"Lowenthal, Yuri",3279,8.17,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,15498,Simon,419,1422,165888
"Lowenthal, Yuri",3279,7.29,Naruto: Shippuuden Movie 2 - Kizuna,29000,"Uchiha, Sasuke",2964,906,268918
"Lowenthal, Yuri",3279,8.91,Code Geass: Hangyaku no Lelouch R2,3897,"Kururugi, Suzaku",19,47,1783095
"Lowenthal, Yuri",3279,6.61,Blue Dragon: Tenkai no Shichi Ryuu,19,Shu,6734,5051,18353
"Lowenthal, Yuri",3279,7.56,Afro Samurai Movie,116,Jinno,1738,2679,66654
"Lowenthal, Yuri",3279,7.37,Afro Samurai,116,Jinno,2521,622,377365
"Lowenthal, Yuri",3279,8.13,Seirei no Moribito,6,Touya,464,1109,219186
"Lowenthal, Yuri",3279,6.41,Blue Dragon,19,Shu,7862,2972,55283
"Lowenthal, Yuri",3279,8.63,Tengen Toppa Gurren Lagann,15498,Simon,80,64,1612727
"Lowenthal, Yuri",3279,8.27,Naruto: Shippuuden,29000,"Uchiha, Sasuke",291,16,2485967
"Lowenthal, Yuri",3279,6.92,Code Geass: Hangyaku no Lelouch Picture Drama,3897,"Kururugi, Suzaku",4996,3099,50924
"Lowenthal, Yuri",3279,8.27,Nodame Cantabile,0,"Kimura, Tomohito",292,760,315537
"Lowenthal, Yuri",3279,8.27,Nodame Cantabile,0,"Takahashi, Noriyuki",292,760,315537
"Lowenthal, Yuri",3279,8.27,Nodame Cantabile,0,"Noda, Yoshitaka",292,760,315537
"Lowenthal, Yuri",3279,8.04,Paprika,33,"Tokita, Kosaku",586,404,545456
"Lowenthal, Yuri",3279,8.7,Code Geass: Hangyaku no Lelouch,3897,"Kururugi, Suzaku",57,22,2253030
"Lowenthal, Yuri",3279,7.3,Busou Renkin,1,"Negoro, Shinobu",2919,1369,173054
"Lowenthal, Yuri",3279,7.3,Busou Renkin,13,"Powered, Victor",2919,1369,173054
"Lowenthal, Yuri",3279,7.3,Busou Renkin,0,Washio,2919,1369,173054
